DATE,DFXARC1M027SBEA
2019-01-01,1023.2
2019-02-01,1003.5
2019-03-01,1019.3
2019-04-01,1025.0
2019-05-01,1029.9
2019-06-01,1035.4
2019-07-01,1044.7
2019-08-01,1046.5
2019-09-01,1037.1
2019-10-01,1039.7
2019-11-01,1042.3
2019-12-01,1039.7
2020-01-01,1038.7
